id,board_type,contents,created_at,deleted_at,like_count,title,updated_at,view_count,club_id,file_id,member_id
1,1,오늘 아침은 오트밀과 바나나로 간단히 해결했습니다. 점심은 샐러드 저녁은 닭가슴살.,2026-02-11 09:00:00,,15,오늘 식단 공유,2026-02-11 09:15:00,120,1,1.0,1
2,1,오늘 운동 후기: 유산소 30분 + 근력 운동 45분 진행. 체지방률 조금 줄었네요.,2026-02-11 10:30:00,,10,오늘 운동 후기,2026-02-11 10:45:00,85,1,2.0,2
3,1,간식으로 무엇을 먹을지 고민 중입니다. 견과류나 그릭 요거트 추천합니다.,2026-02-11 11:00:00,,8,간식 추천,2026-02-11 11:10:00,60,1,3.0,3
4,2,"안녕하세요! 관리자입니다.
여러분의 원활한 모임 활동을 위해서 지킬 규칙을 말씀드릴게요!
첫 번째, 운동 시 안전 장비를 꼭 착용해주세요.
두 번째, 서로 존중하며 댓글과 게시글을 작성해주세요.
세 번째, 클럽 활동 참여 후 후기 공유를 부탁드립니다.",2026-02-11 09:00:00,,12,새로운 공지 올리게 되었습니다. / 신입 회원분들 환영합니다,2026-02-11 09:10:00,95,1,4.0,4
5,2,"이번 주 클럽 활동 일정이 확정되었습니다.
- 월요일: 상체 운동 모임
- 수요일: 요가 모임
- 금요일: 전신 운동 모임
참여 가능하신 분들은 댓글로 알려주세요.",2026-02-11 10:00:00,,9,공지: 주간 일정 안내,2026-02-11 10:15:00,80,1,5.0,5
66,1,오늘로 식단 유지 50일째입니다~! 모두 힘내요 ㅎㅎ,2026-02-25 09:00:00,,10,힘들지만 해냈어요! 화이팅해요 모두!,2026-02-25 09:10:00,20,1,,21
67,1,오늘 운동 후 간단한 스트레칭 완료. 모두들 화이팅!,2026-02-25 11:00:00,,8,운동 후기 공유,2026-02-25 11:10:00,15,1,,22
68,1,오늘 점심은 샐러드와 두부로 해결했어요. 계속 힘내요!,2026-02-25 09:30:00,,12,점심 식단 기록,2026-02-25 09:40:00,18,2,,23
69,1,"저녁에 유산소 30분, 근력 운동 20분 완료!",2026-02-25 18:00:00,,9,오늘 운동 후기,2026-02-25 18:10:00,14,2,,24
70,1,아침은 오트밀과 계란. 힘들지만 꾸준히!,2026-02-26 08:30:00,,7,아침 식단 기록,2026-02-26 08:40:00,12,3,,27
71,1,"점심은 샐러드, 저녁은 닭가슴살! 모두 화이팅!",2026-02-26 12:00:00,,11,오늘 식단 공유,2026-02-26 12:10:00,17,3,,28
72,1,오늘 운동 루틴 완료! 서로 응원하며 계속 진행해요~,2026-02-26 09:00:00,,8,운동 후기,2026-02-26 09:10:00,13,4,,21
