id,club_id,member_id
191,1,21
192,1,22
193,1,23
194,1,24
195,1,25
196,1,26
197,1,27
198,1,28
199,1,29
200,1,30
201,2,21
202,2,22
203,2,23
204,2,24
205,2,25
206,2,26
207,2,27
208,2,28
209,2,29
210,2,30
211,3,21
212,3,22
213,3,23
214,3,24
215,3,25
216,3,26
217,3,27
218,3,28
219,3,29
220,3,30
221,4,21
222,4,22
223,4,23
224,4,24
225,4,25
226,4,26
227,4,27
228,4,28
229,4,29
230,4,30
231,5,21
232,5,22
233,5,23
234,5,24
235,5,25
236,5,26
237,5,27
238,5,28
239,5,29
240,5,30
241,6,21
242,6,22
243,6,23
244,6,24
245,6,25
246,6,26
247,6,27
248,6,28
249,6,29
250,6,30
251,7,21
252,7,22
253,7,23
254,7,24
255,7,25
256,7,26
257,7,27
258,7,28
259,7,29
260,7,30
261,8,21
262,8,22
263,8,23
264,8,24
265,8,25
266,8,26
267,8,27
268,8,28
269,8,29
270,8,30
271,9,21
272,9,22
273,9,23
274,9,24
275,9,25
276,9,26
277,9,27
278,9,28
279,9,29
280,9,30
281,10,21
282,10,22
283,10,23
284,10,24
285,10,25
286,10,26
287,10,27
288,10,28
289,10,29
290,10,30
