id,amount,calories,carbohydrate,created_at,fat,name,protein,updated_at,meal_id
1,150,120,60,2026-02-10 07:58:00.013683,10,그릭 요거트,50,2026-02-10 07:58:00.013683,1
2,50,30,20,2026-02-10 07:58:00.013683,5,블루베리,5,2026-02-10 07:58:00.013683,1
3,150,200,200,2026-02-10 07:58:00.013683,0,현미밥,0,2026-02-10 07:58:00.013683,2
4,150,180,0,2026-02-10 07:58:00.013683,20,닭가슴살,160,2026-02-10 07:58:00.013683,2
5,120,250,0,2026-02-10 07:58:00.013683,50,연어,200,2026-02-10 07:58:00.013683,3
6,150,100,100,2026-02-10 07:58:00.013683,0,구운 채소,20,2026-02-10 07:58:00.013683,3
7,100,90,80,2026-02-10 07:58:00.013683,5,바나나,5,2026-02-10 07:58:00.013683,4
8,30,160,50,2026-02-10 07:58:00.013683,90,아몬드,20,2026-02-10 07:58:00.013683,4
9,100,150,100,2026-02-10 07:58:00.013683,20,귀리,30,2026-02-10 07:58:00.013683,5
10,50,80,20,2026-02-10 07:58:00.013683,0,삶은 달걀,60,2026-02-10 07:58:00.013683,5
11,150,200,50,2026-02-10 07:58:00.013683,20,두부,130,2026-02-10 07:58:00.013683,6
12,100,50,40,2026-02-10 07:58:00.013683,0,샐러드 채소,10,2026-02-10 07:58:00.013683,6
13,150,220,0,2026-02-10 07:58:00.013683,40,닭다리,180,2026-02-10 07:58:00.013683,7
14,120,80,60,2026-02-10 07:58:00.013683,10,채소볶음,10,2026-02-10 07:58:00.013683,7
15,100,50,40,2026-02-10 07:58:00.013683,5,사과,5,2026-02-10 07:58:00.013683,8
16,20,170,20,2026-02-10 07:58:00.013683,130,땅콩버터,20,2026-02-10 07:58:00.013683,8
17,80,30,20,2026-02-10 07:58:00.013683,5,토마토,5,2026-02-10 07:58:00.013683,9
18,60,90,0,2026-02-10 07:58:00.013683,20,달걀,70,2026-02-10 07:58:00.013683,9
19,150,200,200,2026-02-10 07:58:00.013683,0,현미밥,0,2026-02-10 07:58:00.013683,10
20,100,60,40,2026-02-10 07:58:00.013683,10,채소볶음,10,2026-02-10 07:58:00.013683,10
21,150,250,0,2026-02-10 07:58:00.013683,70,돼지 등심,180,2026-02-10 07:58:00.013683,11
22,120,80,60,2026-02-10 07:58:00.013683,10,샐러드,10,2026-02-10 07:58:00.013683,11
23,150,120,60,2026-02-10 07:58:00.013683,10,그릭 요거트,50,2026-02-10 07:58:00.013683,12
24,50,110,80,2026-02-10 07:58:00.013683,10,그래놀라,20,2026-02-10 07:58:00.013683,12
25,60,150,100,2026-02-10 07:58:00.013683,20,통밀빵,30,2026-02-10 07:58:00.013683,13
26,50,120,10,2026-02-10 07:58:00.013683,100,아보카도,10,2026-02-10 07:58:00.013683,13
27,120,250,0,2026-02-10 07:58:00.013683,50,연어,200,2026-02-10 07:58:00.013683,14
28,100,50,40,2026-02-10 07:58:00.013683,0,야채 샐러드,10,2026-02-10 07:58:00.013683,14
29,150,200,0,2026-02-10 07:58:00.013683,20,닭가슴살,180,2026-02-10 07:58:00.013683,15
30,120,80,60,2026-02-10 07:58:00.013683,10,채소볶음,10,2026-02-10 07:58:00.013683,15
31,100,90,80,2026-02-10 07:58:00.013683,5,바나나,5,2026-02-10 07:58:00.013683,16
32,100,80,40,2026-02-10 07:58:00.013683,10,요거트,30,2026-02-10 07:58:00.013683,16
33,100,150,100,2026-02-10 07:58:00.013683,20,귀리,30,2026-02-10 07:58:00.013683,17
34,50,30,20,2026-02-10 07:58:00.013683,5,딸기,5,2026-02-10 07:58:00.013683,17
35,150,180,0,2026-02-10 07:58:00.013683,20,닭가슴살,160,2026-02-10 07:58:00.013683,18
36,100,50,40,2026-02-10 07:58:00.013683,0,샐러드,10,2026-02-10 07:58:00.013683,18
37,120,250,0,2026-02-10 07:58:00.013683,50,연어,200,2026-02-10 07:58:00.013683,19
38,80,30,20,2026-02-10 07:58:00.013683,5,시금치,5,2026-02-10 07:58:00.013683,19
39,30,160,50,2026-02-10 07:58:00.013683,90,아몬드,20,2026-02-10 07:58:00.013683,20
40,20,70,40,2026-02-10 07:58:00.013683,5,건포도,5,2026-02-10 07:58:00.013683,20
41,60,90,0,2026-02-10 07:58:00.013683,20,삶은 달걀,70,2026-02-10 07:58:00.013683,21
42,100,50,40,2026-02-10 07:58:00.013683,0,샐러드,10,2026-02-10 07:58:00.013683,21
43,150,200,200,2026-02-10 07:58:00.013683,0,현미밥,0,2026-02-10 07:58:00.013683,22
44,120,150,20,2026-02-10 07:58:00.013683,30,두부구이,100,2026-02-10 07:58:00.013683,22
45,150,220,0,2026-02-10 07:58:00.013683,40,닭다리,180,2026-02-10 07:58:00.013683,23
46,80,30,20,2026-02-10 07:58:00.013683,5,브로콜리,5,2026-02-10 07:58:00.013683,23
47,100,50,40,2026-02-10 07:58:00.013683,5,사과,5,2026-02-10 07:58:00.013683,24
48,100,80,40,2026-02-10 07:58:00.013683,10,요거트,30,2026-02-10 07:58:00.013683,24
49,80,30,20,2026-02-10 07:58:00.013683,5,토마토,5,2026-02-10 07:58:00.013683,25
50,60,150,100,2026-02-10 07:58:00.013683,20,통밀빵,30,2026-02-10 07:58:00.013683,25
