id,burnt_calories,created_at,date_at,duration_min,exercise_id,member_id
1,32,2026-01-01,2026-01-01,10,1,1
2,88,2026-01-02,2026-01-02,30,2,1
3,118,2026-01-03,2026-01-03,20,3,1
4,143,2026-01-04,2026-01-04,25,4,1
5,151,2026-01-05,2026-01-05,15,5,1
6,134,2026-01-06,2026-01-06,20,6,1
7,202,2026-01-07,2026-01-07,40,7,1
8,63,2026-01-08,2026-01-08,30,8,1
9,47,2026-01-09,2026-01-09,20,9,1
10,126,2026-01-10,2026-01-10,15,10,1
11,134,2026-01-11,2026-01-11,20,11,1
12,38,2026-01-12,2026-01-12,12,1,1
13,103,2026-01-13,2026-01-13,35,2,1
14,147,2026-01-14,2026-01-14,25,3,1
15,114,2026-01-15,2026-01-15,20,4,1
16,101,2026-01-16,2026-01-16,10,5,1
17,168,2026-01-17,2026-01-17,25,6,1
18,151,2026-01-18,2026-01-18,30,7,1
19,53,2026-01-19,2026-01-19,25,8,1
20,35,2026-01-20,2026-01-20,15,9,1
21,168,2026-01-21,2026-01-21,20,10,1
22,121,2026-01-22,2026-01-22,18,11,1
23,48,2026-01-23,2026-01-23,15,1,1
24,59,2026-01-24,2026-01-24,20,2,1
25,176,2026-01-25,2026-01-25,30,3,1
26,143,2026-01-26,2026-01-26,25,4,1
27,121,2026-01-27,2026-01-27,12,5,1
28,148,2026-01-28,2026-01-28,22,6,1
29,176,2026-01-29,2026-01-29,35,7,1
30,126,2026-01-30,2026-01-30,15,10,1
